Pack ID / Elevation(s) / Pack-Option Name,Pack ID / Elevation(s) / Pack-Option Name Cleaned,Shipping Order/ Pack Number,Elevation,Option,Option/Phase Number,ItemNo,Type,,,Spill Formulas,,,,,,,,,,,ItemNo,Type
|20.82BCD OPT DEN WALLS,|20.82 OPT DEN WALLS,3,"B, C, D",,,4085,Lumber,,,|20.82BCD OPT DEN WALLS,,,,,|20.82BCD OPT DEN WALLS,,,,|20,.82BCD OPT DEN WALLS,4085,Lumber
|20.82rf OPT DEN WALLS READYFRAME,|20.82rf OPT DEN WALLS READYFRAME,3,,,,4085,Lumber,,,|20.82rf OPT DEN WALLS READYFRAME,,,,,|20.82rf OPT DEN WALLS READYFRAME,,,,|20,.82rf OPT DEN WALLS READYFRAME,4085,Lumber
|20.83BCD OPT DEN  W/FULL BATH WALLS,|20.83 OPT DEN W/FULL BATH WALLS,3,"B, C, D",,,4085,Lumber,,,|20.83BCD OPT DEN W/FULL BATH WALLS,,,,,|20.83BCD OPT DEN W/FULL BATH WALLS,,,,|20,.83BCD OPT DEN W/FULL BATH WALLS,4085,Lumber
|20.83rfBCD OPT DEN W/ FULL BALL WALLS READYFRAME,|20.83rf OPT DEN W/ FULL BALL WALLS READYFRAME,3,,,,4085,Lumber,,,|20.83rfBCD OPT DEN W/ FULL BALL WALLS READYFRAME,,,,,|20.83rfBCD OPT DEN W/ FULL BALL WALLS READYFRAME,,,,|20,.83rfBCD OPT DEN W/ FULL BALL WALLS READYFRAME,4085,Lumber
|20.ak Alternate Kitchen,|20.ak Alternate Kitchen,3,,,,4085,Lumber,,,|20.ak Alternate Kitchen,,,,,|20.ak Alternate Kitchen,,,,|20,.ak Alternate Kitchen,4085,Lumber
|20.l MAIN FLOOR WALLS (LOFT) - ELVA - ELVB - ELVC,|20.l MAIN FLOOR WALLS (LOFT),3,"A, B, C",,"ELVA, ELVB, ELVC",4085,Lumber,,,|20.l MAIN FLOOR WALLS (LOFT),ELVA,ELVB,ELVC,,|20.l MAIN FLOOR WALLS (LOFT),,,,|20,.l MAIN FLOOR WALLS (LOFT),4085,Lumber
|20.nl MAIN FLOOR WALLS (NO LOFT) - ELVA - ELVB - ELVC,|20.nl MAIN FLOOR WALLS (NO LOFT),3,"A, B, C",,"ELVA, ELVB, ELVC",4085,Lumber,,,|20.nl MAIN FLOOR WALLS (NO LOFT),ELVA,ELVB,ELVC,,|20.nl MAIN FLOOR WALLS (NO LOFT),,,,|20,.nl MAIN FLOOR WALLS (NO LOFT),4085,Lumber
|20BC MAIN FLOOR WALLS,|20 MAIN FLOOR WALLS,3,"B, C",,,4085,Lumber,,,|20 MAIN FLOOR WALLS,,,,,|20 MAIN FLOOR WALLS,,,,|20,MAIN FLOOR WALLS,4085,Lumber
|20BCD MAIN FLOOR WALLS,|20 MAIN FLOOR WALLS,3,"B, C, D",,,4085,Lumber,,,|20 MAIN FLOOR WALLS,,,,,|20 MAIN FLOOR WALLS,,,,|20,MAIN FLOOR WALLS,4085,Lumber
|20D MAIN WALLS,|20 MAIN WALLS,3,D,,,4085,Lumber,,,|20 MAIN WALLS,,,,,|20 MAIN WALLS,,,,|20,MAIN WALLS,4085,Lumber
|20mB FRAMING MASONRY ,|20m FRAMING MASONRY,3,,,,4085,Lumber,,,|20mB FRAMING MASONRY,,,,,|20mB FRAMING MASONRY,,,,|20,mB FRAMING MASONRY,4085,Lumber
|20rfBCD MAIN WALLS READYFRAME,|20rf MAIN WALLS READYFRAME,3,,,,4085,Lumber,,,|20rfBCD MAIN WALLS READYFRAME,,,,,|20rfBCD MAIN WALLS READYFRAME,,,,|20,rfBCD MAIN WALLS READYFRAME,4085,Lumber
|22.4A OPT 4 CAR GARAGE TANDEM WALLS - 4CARTA,|22.4 OPT 4 CAR GARAGE TANDEM WALLS,3,A,4CARTA,4CARTA,4085,Lumber,,,|22.4A OPT 4 CAR GARAGE TANDEM WALLS,4CARTA,,,,|22.4A OPT 4 CAR GARAGE TANDEM WALLS,,,,|22,.4A OPT 4 CAR GARAGE TANDEM WALLS,4085,Lumber
|22.4BC OPT 4 CAR GARAGE TANDEM WALLS - 3CARTB - 3CARTC,|22.4 OPT 4 CAR GARAGE TANDEM WALLS,3,"B, C","3CARTB, 3CARTC","3CARTB, 3CARTC",4085,Lumber,,,|22.4BC OPT 4 CAR GARAGE TANDEM WALLS,3CARTB,3CARTC,,,|22.4BC OPT 4 CAR GARAGE TANDEM WALLS,,,,|22,.4BC OPT 4 CAR GARAGE TANDEM WALLS,4085,Lumber
|22.4xA OPT 2 CAR GARAGE 4' EXT WALLS - 2CAR4XA,|22.4x OPT 2 CAR GARAGE 4' EXT WALLS,3,,2CAR4XA,2CAR4XA,4085,Lumber,,,|22.4xA OPT 2 CAR GARAGE 4' EXT WALLS,2CAR4XA,,,,|22.4xA OPT 2 CAR GARAGE 4' EXT WALLS,,,,|22,.4xA OPT 2 CAR GARAGE 4' EXT WALLS,4085,Lumber
|22.4xB OPT 2 CAR GARAGE 4' EXT WALLS - 2CAR4XB,|22.4x OPT 2 CAR GARAGE 4' EXT WALLS,3,,2CAR4XB,2CAR4XB,4085,Lumber,,,|22.4xB OPT 2 CAR GARAGE 4' EXT WALLS,2CAR4XB,,,,|22.4xB OPT 2 CAR GARAGE 4' EXT WALLS,,,,|22,.4xB OPT 2 CAR GARAGE 4' EXT WALLS,4085,Lumber
|22.4xC OPT 2 CAR GARAGE 4' EXT WALLS - 2CAR4XC,|22.4x OPT 2 CAR GARAGE 4' EXT WALLS,3,,2CAR4XC,2CAR4XC,4085,Lumber,,,|22.4xC OPT 2 CAR GARAGE 4' EXT WALLS,2CAR4XC,,,,|22.4xC OPT 2 CAR GARAGE 4' EXT WALLS,,,,|22,.4xC OPT 2 CAR GARAGE 4' EXT WALLS,4085,Lumber
|22.x2 OPT EXTENDED GARAGE WALLS - GAREXT2,|22.x2 OPT EXTENDED GARAGE WALLS,3,,GAREXT2,GAREXT2,4085,Lumber,,,|22.x2 OPT EXTENDED GARAGE WALLS,GAREXT2,,,,|22.x2 OPT EXTENDED GARAGE WALLS,,,,|22,.x2 OPT EXTENDED GARAGE WALLS,4085,Lumber
|22.x2 OPT EXTENDED GARAGE WALLS - OPTI PLATE - GAREXT2,|22.x2 OPT EXTENDED GARAGE WALLS,3,,"OPTI PLATE, GAREXT2","OPTI PLATE, GAREXT2",4085,Lumber,,,|22.x2 OPT EXTENDED GARAGE WALLS,OPTI PLATE,GAREXT2,,,|22.x2 OPT EXTENDED GARAGE WALLS,,,,|22,.x2 OPT EXTENDED GARAGE WALLS,4085,Lumber
|22.x4ABC OPT 2 CAR GARAGE 4' EXT WALLS - 2CAR4XA - 2CAR4XB - 2CAR4XC,|22.x4 OPT 2 CAR GARAGE 4' EXT WALLS,3,"A, B, C","2CAR4XA, 2CAR4XB, 2CAR4XC","2CAR4XA, 2CAR4XB, 2CAR4XC",4085,Lumber,,,|22.x4ABC OPT 2 CAR GARAGE 4' EXT WALLS,2CAR4XA,2CAR4XB,2CAR4XC,,|22.x4ABC OPT 2 CAR GARAGE 4' EXT WALLS,,,,|22,.x4ABC OPT 2 CAR GARAGE 4' EXT WALLS,4085,Lumber
|22.x5AB OPT 2 CAR GARAGE 5' EXT WALLS - ELVA - ELVB - 2CAR5XA - 2CAR5XB,|22.x5 OPT 2 CAR GARAGE 5' EXT WALLS,3,"A, B","2CAR5XA, 2CAR5XB","ELVA, ELVB, 2CAR5XA, 2CAR5XB",4085,Lumber,,,|22.x5AB OPT 2 CAR GARAGE 5' EXT WALLS,ELVA,ELVB,2CAR5XA,2CAR5XB,|22.x5AB OPT 2 CAR GARAGE 5' EXT WALLS,,,,|22,.x5AB OPT 2 CAR GARAGE 5' EXT WALLS,4085,Lumber
|22.x5C OPT 2 CAR GARAGE 5' EXT WALLS - ELVC - 2CAR5XC,|22.x5 OPT 2 CAR GARAGE 5' EXT WALLS,3,C,2CAR5XC,"ELVC, 2CAR5XC",4085,Lumber,,,|22.x5C OPT 2 CAR GARAGE 5' EXT WALLS,ELVC,2CAR5XC,,,|22.x5C OPT 2 CAR GARAGE 5' EXT WALLS,,,,|22,.x5C OPT 2 CAR GARAGE 5' EXT WALLS,4085,Lumber
|22BC 3RD CAR GARAGE WALLS ,|22 3RD CAR GARAGE WALLS,3,"B, C",,,4085,Lumber,,,|22 3RD CAR GARAGE WALLS,,,,,|22 3RD CAR GARAGE WALLS,,,,|22,3RD CAR GARAGE WALLS,4085,Lumber
|22BCD 3RD CAR GARAGE WALLS ,|22 3RD CAR GARAGE WALLS,3,"B, C, D",,,4085,Lumber,,,|22 3RD CAR GARAGE WALLS,,,,,|22 3RD CAR GARAGE WALLS,,,,|22,3RD CAR GARAGE WALLS,4085,Lumber
|22D 3RD CAR GARAGE WALLS ,|22 3RD CAR GARAGE WALLS,3,D,,,4085,Lumber,,,|22 3RD CAR GARAGE WALLS,,,,,|22 3RD CAR GARAGE WALLS,,,,|22,3RD CAR GARAGE WALLS,4085,Lumber
|23 COVERED PATIO - COVP,|23 COVERED PATIO,3,,COVP,COVP,4085,Lumber,,,|23 COVERED PATIO,COVP,,,,|23 COVERED PATIO,,,,|23,COVERED PATIO,4085,Lumber
|23.1 COVERED PATIO - COVP,|23.1 COVERED PATIO,3,,COVP,COVP,4085,Lumber,,,|23.1 COVERED PATIO,COVP,,,,|23.1 COVERED PATIO,,,,|23,.1 COVERED PATIO,4085,Lumber
|23.2 COVERED PATIO 2,|23.2 COVERED PATIO 2,3,,,,4085,Lumber,,,|23.2 COVERED PATIO 2,,,,,|23.2 COVERED PATIO 2,,,,|23,.2 COVERED PATIO 2,4085,Lumber
|23.2 COVERED PATIO 2 - COVP2,|23.2 COVERED PATIO 2,3,,COVP2,COVP2,4085,Lumber,,,|23.2 COVERED PATIO 2,COVP2,,,,|23.2 COVERED PATIO 2,,,,|23,.2 COVERED PATIO 2,4085,Lumber
|23.3 COVERED PATIO 3 - COVP3,|23.3 COVERED PATIO 3,3,,COVP3,COVP3,4085,Lumber,,,|23.3 COVERED PATIO 3,COVP3,,,,|23.3 COVERED PATIO 3,,,,|23,.3 COVERED PATIO 3,4085,Lumber
|23.61 SUNROOM COVERED PATIO - COVPSN1,|23.61 SUNROOM COVERED PATIO,3,,COVPSN1,COVPSN1,4085,Lumber,,,|23.61 SUNROOM COVERED PATIO,COVPSN1,,,,|23.61 SUNROOM COVERED PATIO,,,,|23,.61 SUNROOM COVERED PATIO,4085,Lumber
|23.sr COVERED PATIO @ SUNROOM - SUN - SUNWO - COVPSN1 - COVD1SN,|23.sr COVERED PATIO @ SUNROOM,3,,"SUN, SUNWO, COVPSN1, COVD1SN","SUN, SUNWO, COVPSN1, COVD1SN",4085,Lumber,,,|23.sr COVERED PATIO @ SUNROOM,SUN,SUNWO,COVPSN1,COVD1SN,|23.sr COVERED PATIO @ SUNROOM,,,,|23,.sr COVERED PATIO @ SUNROOM,4085,Lumber
|23.x EXTENDED COVERED PATIO - COVPX,|23.x EXTENDED COVERED PATIO,3,,COVPX,COVPX,4085,Lumber,,,|23.x EXTENDED COVERED PATIO,COVPX,,,,|23.x EXTENDED COVERED PATIO,,,,|23,.x EXTENDED COVERED PATIO,4085,Lumber
|24 DECK FRAMING - WO,|24 DECK FRAMING,3,,WO,WO,4085,Lumber,,,|24 DECK FRAMING,WO,,,,|24 DECK FRAMING,,,,|24,DECK FRAMING,4085,Lumber
|24.1 DECK FRAMING - DECK,|24.1 DECK FRAMING,3,,DECK,DECK,4085,Lumber,,,|24.1 DECK FRAMING,DECK,,,,|24.1 DECK FRAMING,,,,|24,.1 DECK FRAMING,4085,Lumber
|24.2 DECK FRAMING - DECK2,|24.2 DECK FRAMING,3,,DECK2,DECK2,4085,Lumber,,,|24.2 DECK FRAMING,DECK2,,,,|24.2 DECK FRAMING,,,,|24,.2 DECK FRAMING,4085,Lumber
|24.3 DECK FRAMING - DECK3,|24.3 DECK FRAMING,3,,DECK3,DECK3,4085,Lumber,,,|24.3 DECK FRAMING,DECK3,,,,|24.3 DECK FRAMING,,,,|24,.3 DECK FRAMING,4085,Lumber
|24.60 DECK FRAMING @ EXT GRT RM WALKOUT - XGREAT - COVD2 - WO2,|24.60 DECK FRAMING @ EXT GRT RM WALKOUT,3,,"XGREAT, COVD2, WO2","XGREAT, COVD2, WO2",4085,Lumber,,,|24.60 DECK FRAMING @ EXT GRT RM WALKOUT,XGREAT,COVD2,WO2,,|24.60 DECK FRAMING @ EXT GRT RM WALKOUT,,,,|24,.60 DECK FRAMING @ EXT GRT RM WALKOUT,4085,Lumber
|24.e EXT DECK FRAMING - COVD2 - WO,|24.e EXT DECK FRAMING,3,,"COVD2, WO","COVD2, WO",4085,Lumber,,,|24.e EXT DECK FRAMING,COVD2,WO,,,|24.e EXT DECK FRAMING,,,,|24,.e EXT DECK FRAMING,4085,Lumber
|24.sr DECK FRAMING @ SUNROOM  - SUN - COVD1SN - SUNWO,|24.sr DECK FRAMING @ SUNROOM,3,,"SUN, COVD1SN, SUNWO","SUN, COVD1SN, SUNWO",4085,Lumber,,,|24.sr DECK FRAMING @ SUNROOM,SUN,COVD1SN,SUNWO,,|24.sr DECK FRAMING @ SUNROOM,,,,|24,.sr DECK FRAMING @ SUNROOM,4085,Lumber
|24.sr DECK FRAMING @ SUNROOM - COVD1SN - SUNWO,|24.sr DECK FRAMING @ SUNROOM,3,,"COVD1SN, SUNWO","COVD1SN, SUNWO",4085,Lumber,,,|24.sr DECK FRAMING @ SUNROOM,COVD1SN,SUNWO,,,|24.sr DECK FRAMING @ SUNROOM,,,,|24,.sr DECK FRAMING @ SUNROOM,4085,Lumber
|25.1 COVERED DECK - COVD,|25.1 COVERED DECK,3,,COVD,COVD,4085,Lumber,,,|25.1 COVERED DECK,COVD,,,,|25.1 COVERED DECK,,,,|25,.1 COVERED DECK,4085,Lumber
|25.1 COVERED DECK FRAMING - COVD,|25.1 COVERED DECK FRAMING,3,,COVD,COVD,4085,Lumber,,,|25.1 COVERED DECK FRAMING,COVD,,,,|25.1 COVERED DECK FRAMING,,,,|25,.1 COVERED DECK FRAMING,4085,Lumber
|25.1s COVERED DECK STAIR FRAMING - COVD,|25.1s COVERED DECK STAIR FRAMING,3,,COVD,COVD,4085,Lumber,,,|25.1s COVERED DECK STAIR FRAMING,COVD,,,,|25.1s COVERED DECK STAIR FRAMING,,,,|25,.1s COVERED DECK STAIR FRAMING,4085,Lumber
|25.2 COVERED DECK FRAMING- COVD2,|25.2 COVERED DECK FRAMING,3,,COVD2,COVD2,4085,Lumber,,,|25.2 COVERED DECK FRAMING,COVD2,,,,|25.2 COVERED DECK FRAMING,,,,|25,.2 COVERED DECK FRAMING,4085,Lumber
|25.3 COVERED DECK FRAMING - COVD3,|25.3 COVERED DECK FRAMING,3,,COVD3,COVD3,4085,Lumber,,,|25.3 COVERED DECK FRAMING,COVD3,,,,|25.3 COVERED DECK FRAMING,,,,|25,.3 COVERED DECK FRAMING,4085,Lumber
|25.tc DECK FRAMING - TALLCRWL,|25.tc DECK FRAMING,3,,TALLCRWL,TALLCRWL,4085,Lumber,,,|25.tc DECK FRAMING,TALLCRWL,,,,|25.tc DECK FRAMING,,,,|25,.tc DECK FRAMING,4085,Lumber
|27A MAIN FLOOR SHAFTLINER - ELVA - G767,|27 MAIN FLOOR SHAFTLINER,3,A,G767,"ELVA, G767",4085,Lumber,,,|27 MAIN FLOOR SHAFTLINER,ELVA,G767,,,|27 MAIN FLOOR SHAFTLINER,,,,|27,MAIN FLOOR SHAFTLINER,4085,Lumber
|30 2ND FLOOR SYSTEM,|30 2ND FLOOR SYSTEM,3,,,,4085,Lumber,,,|30 2ND FLOOR SYSTEM,,,,,|30 2ND FLOOR SYSTEM,,,,|30,2ND FLOOR SYSTEM,4085,Lumber
|30 2ND FLOOR SYSTEM|,|30 2ND FLOOR SYSTEM|,3,,,,4085,Lumber,,,|30 2ND FLOOR SYSTEM|,,,,,|30 2ND FLOOR SYSTEM|,,,,|30,2ND FLOOR SYSTEM|,4085,Lumber
|30.21 OPT DBA DELUXE MASTER BATH 1 - DBA,|30.21 OPT DBA DELUXE MASTER BATH 1,3,,DBA,DBA,4085,Lumber,,,|30.21 OPT DBA DELUXE MASTER BATH 1,DBA,,,,|30.21 OPT DBA DELUXE MASTER BATH 1,,,,|30,.21 OPT DBA DELUXE MASTER BATH 1,4085,Lumber
|30.22 OPT DBA2 DELUXE MASTER BATH 2 - DBA2,|30.22 OPT DBA2 DELUXE MASTER BATH 2,3,,DBA2,DBA2,4085,Lumber,,,|30.22 OPT DBA2 DELUXE MASTER BATH 2,DBA2,,,,|30.22 OPT DBA2 DELUXE MASTER BATH 2,,,,|30,.22 OPT DBA2 DELUXE MASTER BATH 2,4085,Lumber
|30.62 OPT LOFT2 2ND FLOOR SYSTEM (SHIP WITH MAIN WALLS) - LOFT2,|30.62 OPT LOFT2 2ND FLOOR SYSTEM (SHIP WITH MAIN WALLS),3,,LOFT2,LOFT2,4085,Lumber,,,|30.62 OPT LOFT2 2ND FLOOR SYSTEM (SHIP WITH MAIN WALLS),LOFT2,,,,|30.62 OPT LOFT2 2ND FLOOR SYSTEM (SHIP WITH MAIN WALLS),,,,|30,.62 OPT LOFT2 2ND FLOOR SYSTEM (SHIP WITH MAIN WALLS),4085,Lumber
|30.nl 2ND FLOOR SYSTEM (SHIP WITH MAIN WALLS - NO LOFT) - ELVA - ELVB - ELVC,|30.nl 2ND FLOOR SYSTEM (SHIP WITH MAIN WALLS,3,"A, B, C",NO LOFT),"NO LOFT), ELVA, ELVB, ELVC",4085,Lumber,,,|30.nl 2ND FLOOR SYSTEM (SHIP WITH MAIN WALLS,NO LOFT),ELVA,ELVB,ELVC,|30.nl 2ND FLOOR SYSTEM (SHIP WITH MAIN WALLS,,,,|30,.nl 2ND FLOOR SYSTEM (SHIP WITH MAIN WALLS,4085,Lumber
|30BCD 2ND FLOOR SYSTEM,|30 2ND FLOOR SYSTEM,3,"B, C, D",,,4085,Lumber,,,|30 2ND FLOOR SYSTEM,,,,,|30 2ND FLOOR SYSTEM,,,,|30,2ND FLOOR SYSTEM,4085,Lumber
|32 2ND FLOOR SUBFLOOR,|32 2ND FLOOR SUBFLOOR,4,,,,4085,Lumber,,,|32 2ND FLOOR SUBFLOOR,,,,,|32 2ND FLOOR SUBFLOOR,,,,|32,2ND FLOOR SUBFLOOR,4085,Lumber
|32.62 OPT LOFT2 2ND FLOOR SUBFLOOR - LOFT2,|32.62 OPT LOFT2 2ND FLOOR SUBFLOOR,4,,LOFT2,LOFT2,4085,Lumber,,,|32.62 OPT LOFT2 2ND FLOOR SUBFLOOR,LOFT2,,,,|32.62 OPT LOFT2 2ND FLOOR SUBFLOOR,,,,|32,.62 OPT LOFT2 2ND FLOOR SUBFLOOR,4085,Lumber
|32.l 2ND FLOOR DECKING - LOFT,|32.l 2ND FLOOR DECKING,4,,LOFT,LOFT,4085,Lumber,,,|32.l 2ND FLOOR DECKING,LOFT,,,,|32.l 2ND FLOOR DECKING,,,,|32,.l 2ND FLOOR DECKING,4085,Lumber
|32BCD 2ND FLOOR SUBFLOOR,|32 2ND FLOOR SUBFLOOR,4,"B, C, D",,,4085,Lumber,,,|32 2ND FLOOR SUBFLOOR,,,,,|32 2ND FLOOR SUBFLOOR,,,,|32,2ND FLOOR SUBFLOOR,4085,Lumber
|34 2ND FLOOR DECKING & WALLS,|34 2ND FLOOR DECKING & WALLS,4,,,,4085,Lumber,,,|34 2ND FLOOR DECKING & WALLS,,,,,|34 2ND FLOOR DECKING & WALLS,,,,|34,2ND FLOOR DECKING & WALLS,4085,Lumber
|34.10 LAUNDRY ROOM WINDOW,|34.10 LAUNDRY ROOM WINDOW,4,,,,4085,Lumber,,,|34.10 LAUNDRY ROOM WINDOW,,,,,|34.10 LAUNDRY ROOM WINDOW,,,,|34,.10 LAUNDRY ROOM WINDOW,4085,Lumber
|34.10 OPT BATHROOM 2 WINDOW,|34.10 OPT BATHROOM 2 WINDOW,4,,,,4085,Lumber,,,|34.10 OPT BATHROOM 2 WINDOW,,,,,|34.10 OPT BATHROOM 2 WINDOW,,,,|34,.10 OPT BATHROOM 2 WINDOW,4085,Lumber
|34.11 OPT MASTER BEDROOM WINDOW(S) - WDWMBR,|34.11 OPT MASTER BEDROOM WINDOW(S),4,,WDWMBR,WDWMBR,4085,Lumber,,,|34.11 OPT MASTER BEDROOM WINDOW(S),WDWMBR,,,,|34.11 OPT MASTER BEDROOM WINDOW(S),,,,|34,.11 OPT MASTER BEDROOM WINDOW(S),4085,Lumber
|34.14 OPT BEDROOM 2 WINDOW - WDWBR2,|34.14 OPT BEDROOM 2 WINDOW,4,,WDWBR2,WDWBR2,4085,Lumber,,,|34.14 OPT BEDROOM 2 WINDOW,WDWBR2,,,,|34.14 OPT BEDROOM 2 WINDOW,,,,|34,.14 OPT BEDROOM 2 WINDOW,4085,Lumber
|34.15 OPT BEDROOM 3 WINDOW - WDWBR3,|34.15 OPT BEDROOM 3 WINDOW,4,,WDWBR3,WDWBR3,4085,Lumber,,,|34.15 OPT BEDROOM 3 WINDOW,WDWBR3,,,,|34.15 OPT BEDROOM 3 WINDOW,,,,|34,.15 OPT BEDROOM 3 WINDOW,4085,Lumber
|34.16 OPT BATHROOM 2 WINDOW - WDWBA2,|34.16 OPT BATHROOM 2 WINDOW,4,,WDWBA2,WDWBA2,4085,Lumber,,,|34.16 OPT BATHROOM 2 WINDOW,WDWBA2,,,,|34.16 OPT BATHROOM 2 WINDOW,,,,|34,.16 OPT BATHROOM 2 WINDOW,4085,Lumber
|34.21 OPT DBA DELUXE MASTER BATH 1 - DBA,|34.21 OPT DBA DELUXE MASTER BATH 1,4,,DBA,DBA,4085,Lumber,,,|34.21 OPT DBA DELUXE MASTER BATH 1,DBA,,,,|34.21 OPT DBA DELUXE MASTER BATH 1,,,,|34,.21 OPT DBA DELUXE MASTER BATH 1,4085,Lumber
|34.22 OPT DBA2 DELUXE MASTER BATH 2 - DBA2,|34.22 OPT DBA2 DELUXE MASTER BATH 2,4,,DBA2,DBA2,4085,Lumber,,,|34.22 OPT DBA2 DELUXE MASTER BATH 2,DBA2,,,,|34.22 OPT DBA2 DELUXE MASTER BATH 2,,,,|34,.22 OPT DBA2 DELUXE MASTER BATH 2,4085,Lumber
|34.23 OPT DELUXE MBA1,|34.23 OPT DELUXE MBA1,4,,,,4085,Lumber,,,|34.23 OPT DELUXE MBA1,,,,,|34.23 OPT DELUXE MBA1,,,,|34,.23 OPT DELUXE MBA1,4085,Lumber
|34.24 OPT BEDROOM 4 - ABR4,|34.24 OPT BEDROOM 4,4,,ABR4,ABR4,4085,Lumber,,,|34.24 OPT BEDROOM 4,ABR4,,,,|34.24 OPT BEDROOM 4,,,,|34,.24 OPT BEDROOM 4,4085,Lumber
|34.24BCD OPT BEDROOM 4,|34.24 OPT BEDROOM 4,4,"B, C, D",,,4085,Lumber,,,|34.24BCD OPT BEDROOM 4,,,,,|34.24BCD OPT BEDROOM 4,,,,|34,.24BCD OPT BEDROOM 4,4085,Lumber
|34.25 OPT BEDROOM 5 - ABR5,|34.25 OPT BEDROOM 5,4,,ABR5,ABR5,4085,Lumber,,,|34.25 OPT BEDROOM 5,ABR5,,,,|34.25 OPT BEDROOM 5,,,,|34,.25 OPT BEDROOM 5,4085,Lumber
|34.25 OPT BEDROOM 5 - ABR5BA3,|34.25 OPT BEDROOM 5,4,,ABR5BA3,ABR5BA3,4085,Lumber,,,|34.25 OPT BEDROOM 5,ABR5BA3,,,,|34.25 OPT BEDROOM 5,,,,|34,.25 OPT BEDROOM 5,4085,Lumber
|34.25 OPT BEDROOM 5 - ABR5BA4,|34.25 OPT BEDROOM 5,4,,ABR5BA4,ABR5BA4,4085,Lumber,,,|34.25 OPT BEDROOM 5,ABR5BA4,,,,|34.25 OPT BEDROOM 5,,,,|34,.25 OPT BEDROOM 5,4085,Lumber
|34.26 OPT BEDROOM 6 - ABR6,|34.26 OPT BEDROOM 6,4,,ABR6,ABR6,4085,Lumber,,,|34.26 OPT BEDROOM 6,ABR6,,,,|34.26 OPT BEDROOM 6,,,,|34,.26 OPT BEDROOM 6,4085,Lumber
|34.26 OPT BEDROOM 6  W/ BATHROOM - ABR6,|34.26 OPT BEDROOM 6 W/ BATHROOM,4,,ABR6,ABR6,4085,Lumber,,,|34.26 OPT BEDROOM 6 W/ BATHROOM,ABR6,,,,|34.26 OPT BEDROOM 6 W/ BATHROOM,,,,|34,.26 OPT BEDROOM 6 W/ BATHROOM,4085,Lumber
|34.27 OPT MBR SITTING - SITTING,|34.27 OPT MBR SITTING,4,,SITTING,SITTING,4085,Lumber,,,|34.27 OPT MBR SITTING,SITTING,,,,|34.27 OPT MBR SITTING,,,,|34,.27 OPT MBR SITTING,4085,Lumber
|34.61 LOFT BECOMES BEDROOM ,|34.61 LOFT BECOMES BEDROOM,4,,,,4085,Lumber,,,|34.61 LOFT BECOMES BEDROOM,,,,,|34.61 LOFT BECOMES BEDROOM,,,,|34,.61 LOFT BECOMES BEDROOM,4085,Lumber
|34.62 OPT LOFT2 2ND FLOOR WALLS - LOFT2,|34.62 OPT LOFT2 2ND FLOOR WALLS,4,,LOFT2,LOFT2,4085,Lumber,,,|34.62 OPT LOFT2 2ND FLOOR WALLS,LOFT2,,,,|34.62 OPT LOFT2 2ND FLOOR WALLS,,,,|34,.62 OPT LOFT2 2ND FLOOR WALLS,4085,Lumber
|34.80 OPT RETREAT,|34.80 OPT RETREAT,4,,,,4085,Lumber,,,|34.80 OPT RETREAT,,,,,|34.80 OPT RETREAT,,,,|34,.80 OPT RETREAT,4085,Lumber
|34.80BCD OPT RETREAT,|34.80 OPT RETREAT,4,"B, C, D",,,4085,Lumber,,,|34.80BCD OPT RETREAT,,,,,|34.80BCD OPT RETREAT,,,,|34,.80BCD OPT RETREAT,4085,Lumber
|34.l 2ND FLOOR WALLS (LOFT) - ELVA - ELVB - ELVC,|34.l 2ND FLOOR WALLS (LOFT),4,"A, B, C",,"ELVA, ELVB, ELVC",4085,Lumber,,,|34.l 2ND FLOOR WALLS (LOFT),ELVA,ELVB,ELVC,,|34.l 2ND FLOOR WALLS (LOFT),,,,|34,.l 2ND FLOOR WALLS (LOFT),4085,Lumber
|34.nl 2ND FLOOR WALLS (NO LOFT) - ELVA - ELVB - ELVC,|34.nl 2ND FLOOR WALLS (NO LOFT),4,"A, B, C",,"ELVA, ELVB, ELVC",4085,Lumber,,,|34.nl 2ND FLOOR WALLS (NO LOFT),ELVA,ELVB,ELVC,,|34.nl 2ND FLOOR WALLS (NO LOFT),,,,|34,.nl 2ND FLOOR WALLS (NO LOFT),4085,Lumber
|34.9t 2ND FLOOR WALLS 9',|34.9t 2ND FLOOR WALLS 9',4,,,,4085,Lumber,,,|34.9t 2ND FLOOR WALLS 9',,,,,|34.9t 2ND FLOOR WALLS 9',,,,|34,.9t 2ND FLOOR WALLS 9',4085,Lumber
|34.9t 2ND WALLS  9' CEILING - 92L,|34.9t 2ND WALLS 9' CEILING,4,,92L,92L,4085,Lumber,,,|34.9t 2ND WALLS 9' CEILING,92L,,,,|34.9t 2ND WALLS 9' CEILING,,,,|34,.9t 2ND WALLS 9' CEILING,4085,Lumber
|34BCD 2ND FLOOR WALLS,|34 2ND FLOOR WALLS,4,"B, C, D",,,4085,Lumber,,,|34 2ND FLOOR WALLS,,,,,|34 2ND FLOOR WALLS,,,,|34,2ND FLOOR WALLS,4085,Lumber
|34C 2ND FLOOR WALLS,|34 2ND FLOOR WALLS,4,C,,,4085,Lumber,,,|34 2ND FLOOR WALLS,,,,,|34 2ND FLOOR WALLS,,,,|34,2ND FLOOR WALLS,4085,Lumber
