Pack ID / Elevation(s) / Pack-Option Name,Pack ID / Elevation(s) / Pack-Option Name Cleaned,Shipping Order/ Pack Number,Elevation,Option,Option/Phase Number,ItemNo,Type,,,Spill Formulas,,,,,,,,,,,ItemNo,Type
|12 OPT 3RD CAR GARAGE FOUNDATION - 3CARA - 3CARB - 3CARC,|12 OPT 3RD CAR GARAGE FOUNDATION,1,,"3CARA, 3CARB, 3CARC","3CARA, 3CARB, 3CARC",4085,Lumber,,,|12 OPT 3RD CAR GARAGE FOUNDATION,3CARA,3CARB,3CARC,,|12 OPT 3RD CAR GARAGE FOUNDATION,,,,|12,OPT 3RD CAR GARAGE FOUNDATION,4085,Lumber
|12.4 OPT 4 CAR GARAGE TANDEM FOUNDATION - 4CARTA - 4CARTB - 4CARTC,|12.4 OPT 4 CAR GARAGE TANDEM FOUNDATION,1,,"4CARTA, 4CARTB, 4CARTC","4CARTA, 4CARTB, 4CARTC",4085,Lumber,,,|12.4 OPT 4 CAR GARAGE TANDEM FOUNDATION,4CARTA,4CARTB,4CARTC,,|12.4 OPT 4 CAR GARAGE TANDEM FOUNDATION,,,,|12,.4 OPT 4 CAR GARAGE TANDEM FOUNDATION,4085,Lumber
|12.x2 OPT 2 CAR GARAGE 2' EXT FOUNDATION  - GAREXT2,|12.x2 OPT 2 CAR GARAGE 2' EXT FOUNDATION,1,,GAREXT2,GAREXT2,4085,Lumber,,,|12.x2 OPT 2 CAR GARAGE 2' EXT FOUNDATION,GAREXT2,,,,|12.x2 OPT 2 CAR GARAGE 2' EXT FOUNDATION,,,,|12,.x2 OPT 2 CAR GARAGE 2' EXT FOUNDATION,4085,Lumber
|12.x4ABC OPT 2 CAR GARAGE 4' EXT FOUNDATION - 2CAR4XA - 2CAR4XB - 2CAR4XC,|12.x4 OPT 2 CAR GARAGE 4' EXT FOUNDATION,1,"A, B, C","2CAR4XA, 2CAR4XB, 2CAR4XC","2CAR4XA, 2CAR4XB, 2CAR4XC",4085,Lumber,,,|12.x4ABC OPT 2 CAR GARAGE 4' EXT FOUNDATION,2CAR4XA,2CAR4XB,2CAR4XC,,|12.x4ABC OPT 2 CAR GARAGE 4' EXT FOUNDATION,,,,|12,.x4ABC OPT 2 CAR GARAGE 4' EXT FOUNDATION,4085,Lumber
|12.x5AB OPT 2 CAR GARAGE 5' EXT FOUNDATION - 2CAR5XA - 2CAR5XB,|12.x5 OPT 2 CAR GARAGE 5' EXT FOUNDATION,1,"A, B","2CAR5XA, 2CAR5XB","2CAR5XA, 2CAR5XB",4085,Lumber,,,|12.x5AB OPT 2 CAR GARAGE 5' EXT FOUNDATION,2CAR5XA,2CAR5XB,,,|12.x5AB OPT 2 CAR GARAGE 5' EXT FOUNDATION,,,,|12,.x5AB OPT 2 CAR GARAGE 5' EXT FOUNDATION,4085,Lumber
|12ABD 3RD CAR GARAGE FOUNDATION - 3CARA - 3CARB - 3CARD,|12 3RD CAR GARAGE FOUNDATION,1,"A, B, D","3CARA, 3CARB, 3CARD","3CARA, 3CARB, 3CARD",4085,Lumber,,,|12 3RD CAR GARAGE FOUNDATION,3CARA,3CARB,3CARD,,|12 3RD CAR GARAGE FOUNDATION,,,,|12,3RD CAR GARAGE FOUNDATION,4085,Lumber
|12BCD 3RD CAR GARAGE FOUNDATION - 3CARB - 3CARC - 3CARD,|12 3RD CAR GARAGE FOUNDATION,1,"B, C, D","3CARB, 3CARC, 3CARD","3CARB, 3CARC, 3CARD",4085,Lumber,,,|12 3RD CAR GARAGE FOUNDATION,3CARB,3CARC,3CARD,,|12 3RD CAR GARAGE FOUNDATION,,,,|12,3RD CAR GARAGE FOUNDATION,4085,Lumber
|13.1 COVERED PATIO FOUNDATION - COVP,|13.1 COVERED PATIO FOUNDATION,1,,COVP,COVP,4085,Lumber,,,|13.1 COVERED PATIO FOUNDATION,COVP,,,,|13.1 COVERED PATIO FOUNDATION,,,,|13,.1 COVERED PATIO FOUNDATION,4085,Lumber
|13.2 COVERED PATIO 2 FOUNDATION - COVP2,|13.2 COVERED PATIO 2 FOUNDATION,1,,COVP2,COVP2,4085,Lumber,,,|13.2 COVERED PATIO 2 FOUNDATION,COVP2,,,,|13.2 COVERED PATIO 2 FOUNDATION,,,,|13,.2 COVERED PATIO 2 FOUNDATION,4085,Lumber
|13.2 COVERED PATIO 2 FOUNDATION - COVP2,|13.2 COVERED PATIO 2 FOUNDATION,1,,COVP2,COVP2,4085,Lumber,,,|13.2 COVERED PATIO 2 FOUNDATION,COVP2,,,,|13.2 COVERED PATIO 2 FOUNDATION,,,,|13,.2 COVERED PATIO 2 FOUNDATION,4085,Lumber
