Richmond_Pack_ID,Shipping_Order,Elevation_Letters_Original,Option_Codes,Phase_Str,Pack_Name,Item_No,Item_Type,Old_Code,New_Phase_Code,New_Elevation_Code,New_Item_Type_Code,New_Full_Code
|74.20 DECK SURFACE & RAIL    ,8 or 9,,DECK2,74.20,DECK SURFACE & RAIL    ,1100,Siding,XXXX-74.2-1100,074.200,**,2100,XXXX-074.200-**-2100
|74.30 DECK SURFACE & RAIL    ,8 or 9,,DECK3,74.30,DECK SURFACE & RAIL    ,1100,Siding,XXXX-74.3-1100,074.300,**,2100,XXXX-074.300-**-2100
|74.60 DECK SURFACE & RAIL @ EXT GRT RM,8 or 9,,"XGREAT, COVD2, WO2",74.60,DECK SURFACE & RAIL @ EXT GRT RM,1100,Siding,XXXX-74.6-1100,074.600,**,2100,XXXX-074.600-**-2100
|74.ed EXT DECK SURFACE & RAIL   ,8 or 9,,"COVD2, WO",74.ed,EXT DECK SURFACE & RAIL   ,1100,Siding,XXXX-74.ed-1100,074.900,**,2100,XXXX-074.900-**-2100
|75.10 DECK SURFACE & RAIL    ,8 or 9,,COVD,75.10,DECK SURFACE & RAIL    ,1100,Siding,XXXX-75.1-1100,075.100,**,2100,XXXX-075.100-**-2100
|75.1s STAIRS SURFACE & RAIL    ,8 or 9,,COVD,75.1s,STAIRS SURFACE & RAIL    ,1100,Siding,XXXX-75.1s-1100,075.101,**,2100,XXXX-075.101-**-2100
|75.20 DECK SURFACE & RAIL    ,8 or 9,,COVD2,75.20,DECK SURFACE & RAIL    ,1100,Siding,XXXX-75.2-1100,075.200,**,2100,XXXX-075.200-**-2100
|75.2s STAIRS SURFACE & RAIL    ,8 or 9,,COVD2,75.2s,STAIRS SURFACE & RAIL    ,1100,Siding,XXXX-75.2s-1100,075.201,**,2100,XXXX-075.201-**-2100
|75.30 DECK SURFACE & RAIL    ,8 or 9,,COVD3,75.30,DECK SURFACE & RAIL    ,1100,Siding,XXXX-75.3-1100,075.300,**,2100,XXXX-075.300-**-2100
|75.tc DECK SURFACE & RAIL    ,8 or 9,,TALLCRWL,75.tc,DECK SURFACE & RAIL    ,1100,Siding,XXXX-75.tc-1100,075.900,**,2100,XXXX-075.900-**-2100
|80.00 TALL CRAWL      ,1,,TALLCRWL,80.00,TALL CRAWL      ,1000,Framing,XXXX-80-1000,080.000,**,1000,XXXX-080.000-**-1000
|90.00 TALL CRAWL SIDING     ,7,,TALLCRWL,90.00,TALL CRAWL SIDING     ,1100,Siding,XXXX-90-1100,090.000,**,2100,XXXX-090.000-**-2100
