Pack ID / Elevation(s) / Pack-Option Name Cleaned,Shipping Order/ Pack Number,Elevation Letter Combined,Option,Elevation/Option Combined,Elevation/ Option 1,Elevation/ Option 2,Elevation/ Option 3,Plan#,,,ItemNo,Type,,Final Code
|32.00 2ND FLOOR SUBFLOOR     ,4,"B, C, D",,,,,,XXXX,32.00,2ND FLOOR SUBFLOOR     ,1000,Framing,,XXXX-32-1000
|34.00 2ND FLOOR DECKING & WALLS   ,4,,,,,,,XXXX,34.00,2ND FLOOR DECKING & WALLS   ,1000,Framing,,XXXX-34-1000
|34.10 LAUNDRY ROOM WINDOW     ,4,,,,,,,XXXX,34.10,LAUNDRY ROOM WINDOW     ,1000,Framing,,XXXX-34.1-1000
|34.10 OPT BATHROOM 2 WINDOW    ,4,,,,,,,XXXX,34.10,OPT BATHROOM 2 WINDOW    ,1000,Framing,,XXXX-34.1-1000
|34.11 OPT MASTER BEDROOM WINDOW(S)    ,4,,WDWMBR,WDWMBR,WDWMBR,,,XXXX,34.11,OPT MASTER BEDROOM WINDOW(S)    ,1000,Framing,,XXXX-34.11-1000
|34.14 OPT BEDROOM 2 WINDOW    ,4,,WDWBR2,WDWBR2,WDWBR2,,,XXXX,34.14,OPT BEDROOM 2 WINDOW    ,1000,Framing,,XXXX-34.14-1000
|34.15 OPT BEDROOM 3 WINDOW    ,4,,WDWBR3,WDWBR3,WDWBR3,,,XXXX,34.15,OPT BEDROOM 3 WINDOW    ,1000,Framing,,XXXX-34.15-1000
|34.16 OPT BATHROOM 2 WINDOW    ,4,,WDWBA2,WDWBA2,WDWBA2,,,XXXX,34.16,OPT BATHROOM 2 WINDOW    ,1000,Framing,,XXXX-34.16-1000
|34.21 OPT DBA DELUXE MASTER BATH 1  ,4,,DBA,DBA,DBA,,,XXXX,34.21,OPT DBA DELUXE MASTER BATH 1  ,1000,Framing,,XXXX-34.21-1000
|34.22 OPT DBA2 DELUXE MASTER BATH 2  ,4,,DBA2,DBA2,DBA2,,,XXXX,34.22,OPT DBA2 DELUXE MASTER BATH 2  ,1000,Framing,,XXXX-34.22-1000
|34.23 OPT DELUXE MBA1     ,4,,,,,,,XXXX,34.23,OPT DELUXE MBA1     ,1000,Framing,,XXXX-34.23-1000
|34.24 OPT BEDROOM 4     ,4,,ABR4,ABR4,ABR4,,,XXXX,34.24,OPT BEDROOM 4     ,1000,Framing,,XXXX-34.24-1000
|34.24 OPT BEDROOM 4     ,4,"B, C, D",,,,,,XXXX,34.24,OPT BEDROOM 4     ,1000,Framing,,XXXX-34.24-1000
|34.25 OPT BEDROOM 5     ,4,,ABR5,ABR5,ABR5,,,XXXX,34.25,OPT BEDROOM 5     ,1000,Framing,,XXXX-34.25-1000
|34.25 OPT BEDROOM 5     ,4,,ABR5BA3,ABR5BA3,ABR5BA3,,,XXXX,34.25,OPT BEDROOM 5     ,1000,Framing,,XXXX-34.25-1000
|34.25 OPT BEDROOM 5     ,4,,ABR5BA4,ABR5BA4,ABR5BA4,,,XXXX,34.25,OPT BEDROOM 5     ,1000,Framing,,XXXX-34.25-1000
|34.26 OPT BEDROOM 6     ,4,,ABR6,ABR6,ABR6,,,XXXX,34.26,OPT BEDROOM 6     ,1000,Framing,,XXXX-34.26-1000
|34.26 OPT BEDROOM 6 W/ BATHROOM   ,4,,ABR6,ABR6,ABR6,,,XXXX,34.26,OPT BEDROOM 6 W/ BATHROOM   ,1000,Framing,,XXXX-34.26-1000
|34.27 OPT MBR SITTING     ,4,,SITTING,SITTING,SITTING,,,XXXX,34.27,OPT MBR SITTING     ,1000,Framing,,XXXX-34.27-1000
|34.61 LOFT BECOMES BEDROOM     ,4,,,,,,,XXXX,34.61,LOFT BECOMES BEDROOM     ,1000,Framing,,XXXX-34.61-1000
|34.62 OPT LOFT2 2ND FLOOR WALLS   ,4,,LOFT2,LOFT2,LOFT2,,,XXXX,34.62,OPT LOFT2 2ND FLOOR WALLS   ,1000,Framing,,XXXX-34.62-1000
|34.80 OPT RETREAT      ,4,,,,,,,XXXX,34.80,OPT RETREAT      ,1000,Framing,,XXXX-34.8-1000
|34.80 OPT RETREAT      ,4,"B, C, D",,,,,,XXXX,34.80,OPT RETREAT      ,1000,Framing,,XXXX-34.8-1000
|34.lp 2ND FLOOR WALLS (LOFT)    ,4,"A, B, C",,"ELVA, ELVB, ELVC",ELVA,ELVB,ELVC,XXXX,34.lp,2ND FLOOR WALLS (LOFT)    ,1000,Framing,,XXXX-34.lp-1000
|34.nl 2ND FLOOR WALLS (NO LOFT)   ,4,"A, B, C",,"ELVA, ELVB, ELVC",ELVA,ELVB,ELVC,XXXX,34.nl,2ND FLOOR WALLS (NO LOFT)   ,1000,Framing,,XXXX-34.nl-1000
|34.9t 2ND FLOOR WALLS 9'    ,4,,,,,,,XXXX,34.9t,2ND FLOOR WALLS 9'    ,1000,Framing,,XXXX-34.9t-1000
|34.9t 2ND WALLS 9' CEILING    ,4,,92L,92L,,,,XXXX,34.9t,2ND WALLS 9' CEILING    ,1000,Framing,,XXXX-34.9t-1000
|34.00 2ND FLOOR WALLS     ,4,"B, C, D",,,,,,XXXX,34.00,2ND FLOOR WALLS     ,1000,Framing,,XXXX-34-1000
|34.00 2ND FLOOR WALLS     ,4,C,,,,,,XXXX,34.00,2ND FLOOR WALLS     ,1000,Framing,,XXXX-34-1000
|34.00 2ND FLOOR WALLS     ,4,D,,,,,,XXXX,34.00,2ND FLOOR WALLS     ,1000,Framing,,XXXX-34-1000
|34.rf 2ND FLOOR WALLS READYFRAME    ,4,"B, C",,,,,,XXXX,34.rf,2ND FLOOR WALLS READYFRAME    ,1000,Framing,,XXXX-34.rf-1000
|34.rf 2ND FLOOR WALLS READYFRAME    ,4,"B, C, D",,,,,,XXXX,34.rf,2ND FLOOR WALLS READYFRAME    ,1000,Framing,,XXXX-34.rf-1000
|34.rf 2ND FLOOR WALLS READYFRAME    ,4,D,,,,,,XXXX,34.rf,2ND FLOOR WALLS READYFRAME    ,1000,Framing,,XXXX-34.rf-1000
|40.00 ROOF       ,5,,,,,,,XXXX,40.00,ROOF       ,1000,Framing,,XXXX-40-1000
|40.60 EXTENDED GREAT ROOM ROOF    ,5,,"XGREAT, WO2","XGREAT, WO2",XGREAT,WO2,,XXXX,40.60,EXTENDED GREAT ROOM ROOF    ,1000,Framing,,XXXX-40.6-1000
|40.61 ROOF SUNROOM      ,5,,SUN,SUN,SUN,,,XXXX,40.61,ROOF SUNROOM      ,1000,Framing,,XXXX-40.61-1000
|40.80 OPT BUILD-OUT ROOF,5,"A, C, D",,"ELVA, ELVC, ELVD",,,,XXXX,40.80,OPT BUILD-OUT ROOF,1000,Framing,,XXXX-40.8-1000
|40.00 ROOF       ,5,B,,,,,,XXXX,40.00,ROOF       ,1000,Framing,,XXXX-40-1000
|40.00 ROOF       ,5,"B, C",,,,,,XXXX,40.00,ROOF       ,1000,Framing,,XXXX-40-1000
|40.00 ROOF       ,5,"B, C, D",,,,,,XXXX,40.00,ROOF       ,1000,Framing,,XXXX-40-1000
|40.00 ROOF       ,5,C,,,,,,XXXX,40.00,ROOF       ,1000,Framing,,XXXX-40-1000
|40.00 ROOF       ,5,D,,,,,,XXXX,40.00,ROOF       ,1000,Framing,,XXXX-40-1000
|40.gs ROOF GABLE SHEETING     ,5,,,,,,,XXXX,40.gs,ROOF GABLE SHEETING     ,1000,Framing,,XXXX-40.gs-1000
|40.gs ROOF GABLE SHEETING     ,5,,,,,,,XXXX,40.gs,ROOF GABLE SHEETING     ,1000,Framing,,XXXX-40.gs-1000
|42.40 OPT 4 CAR GARAGE TANDEM ROOF  ,5,"A, B","3CARTA, 3CARTB","3CARTA, 3CARTB",3CARTA,3CARTB,,XXXX,42.40,OPT 4 CAR GARAGE TANDEM ROOF  ,1000,Framing,,XXXX-42.4-1000
|42.40 OPT 4 CAR GARAGE TANDEM ROOF  ,5,C,3CARTC,3CARTC,3CARTC,,,XXXX,42.40,OPT 4 CAR GARAGE TANDEM ROOF  ,1000,Framing,,XXXX-42.4-1000
|42.4x OPT 2 CAR GARAGE 4' EXT ROOF ,5,,2CAR4XA,2CAR4XA,2CAR4XA,,,XXXX,42.4x,OPT 2 CAR GARAGE 4' EXT ROOF ,1000,Framing,,XXXX-42.4x-1000
|42.4x OPT 2 CAR GARAGE 4' EXT ROOF ,5,,2CAR4XB,2CAR4XB,2CAR4XB,,,XXXX,42.4x,OPT 2 CAR GARAGE 4' EXT ROOF ,1000,Framing,,XXXX-42.4x-1000
|42.4x OPT 2 CAR GARAGE 4' EXT ROOF ,5,,2CAR4XC,2CAR4XC,2CAR4XC,,,XXXX,42.4x,OPT 2 CAR GARAGE 4' EXT ROOF ,1000,Framing,,XXXX-42.4x-1000
|42.4x OPT 2 CAR GARAGE 4' EXT ROOF ,5,"A, B","2CAR4XA, 2CAR4XB","2CAR4XA, 2CAR4XB",2CAR4XA,2CAR4XB,,XXXX,42.4x,OPT 2 CAR GARAGE 4' EXT ROOF ,1000,Framing,,XXXX-42.4x-1000
|42.4x OPT 2 CAR GARAGE 4' EXT ROOF ,5,C,2CAR4XC,2CAR4XC,2CAR4XC,,,XXXX,42.4x,OPT 2 CAR GARAGE 4' EXT ROOF ,1000,Framing,,XXXX-42.4x-1000
|42.5x OPT 2 CAR GARAGE 5' EXT ROOF ,5,"A, B","2CAR5XA, 2CAR5XB","2CAR5XA, 2CAR5XB",2CAR5XA,2CAR5XB,,XXXX,42.5x,OPT 2 CAR GARAGE 5' EXT ROOF ,1000,Framing,,XXXX-42.5x-1000
|42.5x OPT 2 CAR GARAGE 5' EXT ROOF ,5,C,2CAR5XC,2CAR5XC,2CAR5XC,,,XXXX,42.5x,OPT 2 CAR GARAGE 5' EXT ROOF ,1000,Framing,,XXXX-42.5x-1000
|42.00 OPT 3RD CAR GARAGE ROOF   ,5,A,3CARA,3CARA,3CARA,,,XXXX,42.00,OPT 3RD CAR GARAGE ROOF   ,1000,Framing,,XXXX-42-1000
|42.00 OPT 3RD CAR GARAGE ROOF   ,5,"A, B","3CARA, 3CARB","3CARA, 3CARB",3CARA,3CARB,,XXXX,42.00,OPT 3RD CAR GARAGE ROOF   ,1000,Framing,,XXXX-42-1000
|42.00 3RD CAR GARAGE ROOF    ,5,"B, C, D",,,,,,XXXX,42.00,3RD CAR GARAGE ROOF    ,1000,Framing,,XXXX-42-1000
|42.00 3RD CAR GARAGE ROOF    ,5,"B, D",,,,,,XXXX,42.00,3RD CAR GARAGE ROOF    ,1000,Framing,,XXXX-42-1000
|42.00 3RD CAR GARAGE ROOF    ,5,C,,,,,,XXXX,42.00,3RD CAR GARAGE ROOF    ,1000,Framing,,XXXX-42-1000
|43.00 COVERED PATIO ROOF     ,5,,COVP,COVP,COVP,,,XXXX,43.00,COVERED PATIO ROOF     ,1000,Framing,,XXXX-43-1000
|43.10 OPT COVERED PATIO 1 ROOF   ,5,,,,,,,XXXX,43.10,OPT COVERED PATIO 1 ROOF   ,1000,Framing,,XXXX-43.1-1000
|43.20 OPT COVERED PATIO 2 ROOF   ,5,,,,,,,XXXX,43.20,OPT COVERED PATIO 2 ROOF   ,1000,Framing,,XXXX-43.2-1000
|43.30 OPT COVERED PATIO 2 ROOF   ,5,,"COVD3, COVP3","COVD3, COVP3",COVD3,COVP3,,XXXX,43.30,OPT COVERED PATIO 2 ROOF   ,1000,Framing,,XXXX-43.3-1000
|43.61 SUNROOM COVERED PATIO ROOF    ,5,,COVPSN1,COVPSN1,COVPSN1,,,XXXX,43.61,SUNROOM COVERED PATIO ROOF    ,1000,Framing,,XXXX-43.61-1000
|43.sr COVERED PATIO @ SUNROOM ROOF   ,5,"A, B, C","COVPSN1, COVD1SN","ELVA, ELVB, ELVC, COVPSN1, COVD1SN",,,,XXXX,43.sr,COVERED PATIO @ SUNROOM ROOF   ,1000,Framing,,XXXX-43.sr-1000
|43.xc EXTENDED COVERED PATIO ROOF    ,5,,COVPX,COVPX,COVPX,,,XXXX,43.xc,EXTENDED COVERED PATIO ROOF    ,1000,Framing,,XXXX-43.xc-1000
|45.00 EXT COVERED PATIO     ,5,,,,,,,XXXX,45.00,EXT COVERED PATIO     ,1000,Framing,,XXXX-45-1000
|45.10 OPT COVERED DECK ROOF    ,5,,COVD,COVD,COVD,,,XXXX,45.10,OPT COVERED DECK ROOF    ,1000,Framing,,XXXX-45.1-1000
|45.20 OPT COVERED DECK 2 ROOF   ,5,,COVD2,COVD2,COVD2,,,XXXX,45.20,OPT COVERED DECK 2 ROOF   ,1000,Framing,,XXXX-45.2-1000
|45.30 OPT COVERED DECK ROOF    ,5,,COVD3,COVD3,COVD3,,,XXXX,45.30,OPT COVERED DECK ROOF    ,1000,Framing,,XXXX-45.3-1000
|58.00 HOUSEWRAP       ,6,,,,,,,XXXX,58.00,HOUSEWRAP       ,1100,Siding,,XXXX-58-1100
|58.00 HOUSEWRAP       ,6,"B, C, D",,,,,,XXXX,58.00,HOUSEWRAP       ,1100,Siding,,XXXX-58-1100
|58.00 HOUSEWRAP       ,6,"C, D",,,,,,XXXX,58.00,HOUSEWRAP       ,1100,Siding,,XXXX-58-1100
|60.02 OPT GREAT ROOM WINDOWS SIDING   ,7,,WDWGREAT,WDWGREAT,WDWGREAT,,,XXXX,60.02,OPT GREAT ROOM WINDOWS SIDING   ,1100,Siding,,XXXX-60.02-1100
|60.02 OPT ALT GREAT ROOM WINDOWS W/ FIREPLACE ,7,,WDWGRALT,WDWGRALT,WDWGRALT,,,XXXX,60.02,OPT ALT GREAT ROOM WINDOWS W/ FIREPLACE ,1100,Siding,,XXXX-60.02-1100
|60.0x OPT GREAT ROOM WINDOW(S) @ EXT GRT RM,7,,WDWGRTX,WDWGRTX,WDWGRTX,,,XXXX,60.0x,OPT GREAT ROOM WINDOW(S) @ EXT GRT RM,1100,Siding,,XXXX-60.0x-1100
|60.11 OPT MASTER BEDROOM WINDOWS SIDING   ,7,,WDWMBR,WDWMBR,WDWMBR,,,XXXX,60.11,OPT MASTER BEDROOM WINDOWS SIDING   ,1100,Siding,,XXXX-60.11-1100
|60.12 OPT CENTER MEET DOOR SIDING   ,7,,MSLIDE1,MSLIDE1,MSLIDE1,,,XXXX,60.12,OPT CENTER MEET DOOR SIDING   ,1100,Siding,,XXXX-60.12-1100
|60.13 OPT 12' MULTI     ,7,,"SLIDE DOOR SIDING, MSLIDE2","SLIDE DOOR SIDING, MSLIDE2",SLIDE DOOR SIDING,MSLIDE2,,XXXX,60.13,OPT 12' MULTI     ,1100,Siding,,XXXX-60.13-1100
|60.14 OPT BEDROOM 2 WINDOW SIDING   ,7,,WDWBR2,WDWBR2,WDWBR2,,,XXXX,60.14,OPT BEDROOM 2 WINDOW SIDING   ,1100,Siding,,XXXX-60.14-1100
|60.15 OPT BEDROOM 3 WINDOW SIDING   ,7,,WDWBR3,WDWBR3,WDWBR3,,,XXXX,60.15,OPT BEDROOM 3 WINDOW SIDING   ,1100,Siding,,XXXX-60.15-1100
|60.16 OPT BEDROOM 4 WINDOW SIDING   ,7,,WDWBR4,WDWBR4,WDWBR4,,,XXXX,60.16,OPT BEDROOM 4 WINDOW SIDING   ,1100,Siding,,XXXX-60.16-1100
|60.17 OPT BEDROOM 5 WINDOW SIDING   ,7,,WDWBR5,WDWBR5,WDWBR5,,,XXXX,60.17,OPT BEDROOM 5 WINDOW SIDING   ,1100,Siding,,XXXX-60.17-1100
|60.19 OPT STUDY WINDOW SIDING    ,7,,WDWSTUDY,WDWSTUDY,WDWSTUDY,,,XXXX,60.19,OPT STUDY WINDOW SIDING    ,1100,Siding,,XXXX-60.19-1100
|60.21 OPT DBA DELUXE MASTER BATH 1 SIDING ,7,,DBA,DBA,DBA,,,XXXX,60.21,OPT DBA DELUXE MASTER BATH 1 SIDING ,1100,Siding,,XXXX-60.21-1100
|60.22 OPT DBA2 DELUXE MASTER BATH 2 SIDING ,7,,DBA2,DBA2,DBA2,,,XXXX,60.22,OPT DBA2 DELUXE MASTER BATH 2 SIDING ,1100,Siding,,XXXX-60.22-1100
|60.24 OPT BEDROOM 4 SIDING    ,7,,ABR4BA,ABR4BA,ABR4BA,,,XXXX,60.24,OPT BEDROOM 4 SIDING    ,1100,Siding,,XXXX-60.24-1100
|60.27 OPT MBR SITTING SIDING    ,7,,SITTING,SITTING,SITTING,,,XXXX,60.27,OPT MBR SITTING SIDING    ,1100,Siding,,XXXX-60.27-1100
|60.6x EXTENDED GREAT ROOM SIDING    ,7,,"XGREAT, WO2","XGREAT, WO2",XGREAT,WO2,,XXXX,60.6x,EXTENDED GREAT ROOM SIDING    ,1100,Siding,,XXXX-60.6x-1100
|60.61 SIDING SUNROOM      ,7,,SUN,SUN,SUN,,,XXXX,60.61,SIDING SUNROOM      ,1100,Siding,,XXXX-60.61-1100
|60.80 OPT BUILD-OUT ROOF,7,,OPT BUILD-OUT SIDING,,OPT BUILD-OUT SIDING,,,XXXX,60.80,OPT BUILD      ,1100,Siding,,XXXX-60.8-1100
|60.pr PORCH RAIL      ,7,,PORRAIL,PORRAIL,PORRAIL,,,XXXX,60.pr,PORCH RAIL      ,1100,Siding,,XXXX-60.pr-1100
|60.pw EXTERIOR POST WRAP     ,7 or 8,A,,ELVA,ELVA,,,XXXX,60.pw,EXTERIOR POST WRAP     ,1100,Siding,,XXXX-60.pw-1100
|60.tc SIDING       ,7,,TLLCRWL,TLLCRWL,TLLCRWL,,,XXXX,60.tc,SIDING       ,1100,Siding,,XXXX-60.tc-1100
|60.00 EXTERIOR TRIM AND SIDING    ,7,B,,ELVB,,,,XXXX,60.00,EXTERIOR TRIM AND SIDING    ,1100,Siding,,XXXX-60-1100
|60.00 EXTERIOR TRIM AND SIDING    ,7,"B, C, D",,ELVB,ELVC,ELVD,,XXXX,60.00,EXTERIOR TRIM AND SIDING    ,1100,Siding,,XXXX-60-1100
|60.00 EXTERIOR TRIM AND SIDING    ,7,C,,ELVC,,,,XXXX,60.00,EXTERIOR TRIM AND SIDING    ,1100,Siding,,XXXX-60-1100
|60.00 EXTERIOR TRIM AND SIDING    ,7,D,,ELVD,,,,XXXX,60.00,EXTERIOR TRIM AND SIDING    ,1100,Siding,,XXXX-60-1100
|60.ec EXTERIOR TRIM AND SIDING CORNER ENHANCED  ,7,,,,,,,XXXX,60.ec,EXTERIOR TRIM AND SIDING CORNER ENHANCED  ,1100,Siding,,XXXX-60.ec-1100
|60.ec EXTERIOR TRIM AND SIDING CORNER ENHANCED  ,7,,,,,,,XXXX,60.ec,EXTERIOR TRIM AND SIDING CORNER ENHANCED  ,1100,Siding,,XXXX-60.ec-1100
|60.ec EXTERIOR TRIM AND SIDING CORNER ENHANCED  ,7,,,,,,,XXXX,60.ec,EXTERIOR TRIM AND SIDING CORNER ENHANCED  ,1100,Siding,,XXXX-60.ec-1100
|60.er EXTERIOR TRIM AND SIDING REAR ENHANCED  ,7,,,,,,,XXXX,60.er,EXTERIOR TRIM AND SIDING REAR ENHANCED  ,1100,Siding,,XXXX-60.er-1100
|60.er EXTERIOR TRIM AND SIDING REAR ENHANCED  ,7,,,,,,,XXXX,60.er,EXTERIOR TRIM AND SIDING REAR ENHANCED  ,1100,Siding,,XXXX-60.er-1100
|60.er EXTERIOR TRIM AND SIDING REAR ENHANCED  ,7,,,,,,,XXXX,60.er,EXTERIOR TRIM AND SIDING REAR ENHANCED  ,1100,Siding,,XXXX-60.er-1100
|60.fw FAUX WOOD      ,7,,,,,,,XXXX,60.fw,FAUX WOOD      ,1100,Siding,,XXXX-60.fw-1100
|60.ma EXTERIOR TRIM AND SIDING MASONRY   ,7,,,,,,,XXXX,60.ma,EXTERIOR TRIM AND SIDING MASONRY   ,1100,Siding,,XXXX-60.ma-1100
|60.pw EXTERIOR POST WRAP     ,7 or 8,,,,,,,XXXX,60.pw,EXTERIOR POST WRAP     ,1100,Siding,,XXXX-60.pw-1100
|62.40 4 CAR GARAGE TANDEM SIDING AND TRIM ,7,A,3CARTA,3CARTA,3CARTA,,,XXXX,62.40,4 CAR GARAGE TANDEM SIDING AND TRIM ,1100,Siding,,XXXX-62.4-1100
|62.40 4 CAR GARAGE TANDEM SIDING AND TRIM ,7,B,3CARTB,3CARTB,3CARTB,,,XXXX,62.40,4 CAR GARAGE TANDEM SIDING AND TRIM ,1100,Siding,,XXXX-62.4-1100
|62.40 4 CAR GARAGE TANDEM SIDING AND TRIM ,7,C,3CARTC,3CARTC,3CARTC,,,XXXX,62.40,4 CAR GARAGE TANDEM SIDING AND TRIM ,1100,Siding,,XXXX-62.4-1100
|62.4x OPT 2 CAR GARAGE 4' EXT SIDING AND,7,,2CAR4XA,2CAR4XA,2CAR4XA,,,XXXX,62.4x,OPT 2 CAR GARAGE 4' EXT SIDING AND,1100,Siding,,XXXX-62.4x-1100
|62.4x OPT 2 CAR GARAGE 4' EXT SIDING AND,7,,2CAR4XB,2CAR4XB,2CAR4XB,,,XXXX,62.4x,OPT 2 CAR GARAGE 4' EXT SIDING AND,1100,Siding,,XXXX-62.4x-1100
|62.4x OPT 2 CAR GARAGE 4' EXT SIDING AND,7,,2CAR4XC,2CAR4XC,2CAR4XC,,,XXXX,62.4x,OPT 2 CAR GARAGE 4' EXT SIDING AND,1100,Siding,,XXXX-62.4x-1100
|62.4x OPT 2 CAR GARAGE 4' EXT SIDING AND,7,A,2CAR4XA,2CAR4XA,2CAR4XA,,,XXXX,62.4x,OPT 2 CAR GARAGE 4' EXT SIDING AND,1100,Siding,,XXXX-62.4x-1100
|62.5x 2 CAR GARAGE 5' EXT. SIDING AND TRIM,7,A,2CAR5XA,"ELVA, 2CAR5XA",ELVA,2CAR5XA,,XXXX,62.5x,2 CAR GARAGE 5' EXT. SIDING AND TRIM,1100,Siding,,XXXX-62.5x-1100
|62.5x 2 CAR GARAGE 5' EXT. SIDING AND TRIM,7,B,2CAR5XB,"ELVB, 2CAR5XB",ELVB,2CAR5XB,,XXXX,62.5x,2 CAR GARAGE 5' EXT. SIDING AND TRIM,1100,Siding,,XXXX-62.5x-1100
|62.5x 2 CAR GARAGE 5' EXT. SIDING AND TRIM,7,C,2CAR5XC,"ELVC, 2CAR5XC",ELVC,2CAR5XC,,XXXX,62.5x,2 CAR GARAGE 5' EXT. SIDING AND TRIM,1100,Siding,,XXXX-62.5x-1100
|62.4x OPT 2 CAR GARAGE 4' EXT SIDING AND,7,,2CAR4XB,2CAR4XB,2CAR4XB,,,XXXX,62.4x,OPT 2 CAR GARAGE 4' EXT SIDING AND,1100,Siding,,XXXX-62.4x-1100
|62.4x OPT 2 CAR GARAGE 4' EXT SIDING AND,7,,2CAR4XC,2CAR4XC,2CAR4XC,,,XXXX,62.4x,OPT 2 CAR GARAGE 4' EXT SIDING AND,1100,Siding,,XXXX-62.4x-1100
|62.00 3RD CAR GARAGE SIDING AND TRIM  ,7,A,3CARA,3CARA,3CARA,,,XXXX,62.00,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,,XXXX-62-1100
|62.00 OPT 3CAR EXTERIOR TRIM AND SIDING  ,7,A,3CARA,"ELVA, 3CARA",ELVA,3CARA,,XXXX,62.00,OPT 3CAR EXTERIOR TRIM AND SIDING  ,1100,Siding,,XXXX-62-1100
|62.00 3RD CAR GARAGE SIDING AND TRIM  ,7,B,,,,,,XXXX,62.00,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,,XXXX-62-1100
|62.00 3RD CAR GARAGE SIDING AND TRIM  ,7,B,3CARB,3CARB,3CARB,,,XXXX,62.00,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,,XXXX-62-1100
|62.00 3RD CAR GARAGE SIDING AND TRIM  ,7,B,3CARB,"ELVB, 3CARB",ELVB,3CARB,,XXXX,62.00,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,,XXXX-62-1100
|62.00 3RD CAR GARAGE SIDING AND TRIM  ,7,B,3CARB,3CARB,3CARB,,,XXXX,62.00,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,,XXXX-62-1100
|62.00 OPT 3CAR EXTERIOR TRIM AND SIDING  ,7,B,3CARB,"ELVB, 3CARB",ELVB,3CARB,,XXXX,62.00,OPT 3CAR EXTERIOR TRIM AND SIDING  ,1100,Siding,,XXXX-62-1100
|62.00 3RD CAR GARAGE SIDING AND TRIM  ,7,"B, C, D",,,,,,XXXX,62.00,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,,XXXX-62-1100
|62.00 3RD CAR GARAGE SIDING AND TRIM  ,7,"B, D",,,,,,XXXX,62.00,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,,XXXX-62-1100
|62.00 3RD CAR GARAGE SIDING AND TRIM  ,7,C,,,,,,XXXX,62.00,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,,XXXX-62-1100
|62.00 3RD CAR GARAGE SIDING AND TRIM  ,7,C,3CARC,3CARC,3CARC,,,XXXX,62.00,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,,XXXX-62-1100
|62.00 3RD CAR GARAGE SIDING AND TRIM  ,7,C,3CARC,"ELVC, 3CARC",ELVC,3CARC,,XXXX,62.00,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,,XXXX-62-1100
|62.00 OPT 3CAR EXTERIOR TRIM AND SIDING  ,7,C,3CARC,"ELVC, 3CARC",ELVC,3CARC,,XXXX,62.00,OPT 3CAR EXTERIOR TRIM AND SIDING  ,1100,Siding,,XXXX-62-1100
|62.00 3RD CAR GARAGE SIDING AND TRIM  ,7,D,,,,,,XXXX,62.00,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,,XXXX-62-1100
|62.2x        ,7,,2CAR4XA,2CAR4XA,2CAR4XA,,,XXXX,62.2x,       ,1100,Siding,,XXXX-62.2x-1100
|62.2x OPT EXTENDED GARAGE SIDING    ,7,,2CAR4XB,2CAR4XB,2CAR4XB,,,XXXX,62.2x,OPT EXTENDED GARAGE SIDING    ,1100,Siding,,XXXX-62.2x-1100
|62.2x OPT EXTENDED GARAGE SIDING    ,7,,2CAR4XC,2CAR4XC,2CAR4XC,,,XXXX,62.2x,OPT EXTENDED GARAGE SIDING    ,1100,Siding,,XXXX-62.2x-1100
|63.00 COVERED PATIO SIDING     ,7,,COVP,COVP,COVP,,,XXXX,63.00,COVERED PATIO SIDING     ,1100,Siding,,XXXX-63-1100
|63.10 COVERED DECK PATIO HOUSEWRAP    ,6,,COVP,COVP,COVP,,,XXXX,63.10,COVERED DECK PATIO HOUSEWRAP    ,1100,Siding,,XXXX-63.1-1100
|63.10 COVERED PATIO 1 SIDING    ,7,,,,,,,XXXX,63.10,COVERED PATIO 1 SIDING    ,1100,Siding,,XXXX-63.1-1100
|63.10 COVERED PATIO HOUSEWRAP     ,6,,COVP,COVP,COVP,,,XXXX,63.10,COVERED PATIO HOUSEWRAP     ,1100,Siding,,XXXX-63.1-1100
|63.10 OPT COVERED PATIO 1 SIDING   ,7,,"COVD, COVP","COVD, COVP",COVD,COVP,,XXXX,63.10,OPT COVERED PATIO 1 SIDING   ,1100,Siding,,XXXX-63.1-1100
|63.10 OPT COVERED PATIO 1 SIDING   ,7,"A, B, C","COVP, COVD","COVP, COVD",COVP,COVD,,XXXX,63.10,OPT COVERED PATIO 1 SIDING   ,1100,Siding,,XXXX-63.1-1100
|63.10 OPT COVERED PATIO SIDING    ,7,,COVP,COVP,COVP,,,XXXX,63.10,OPT COVERED PATIO SIDING    ,1100,Siding,,XXXX-63.1-1100
|63.1p OPT COVERED PATIO POST WRAP   ,7 or 8,,COVP,COVP,COVP,,,XXXX,63.1p,OPT COVERED PATIO POST WRAP   ,1100,Siding,,XXXX-63.1p-1100
